Episode = 0, Score = -91.70548288977461, Avg_Score = -91.70548288977461
Episode = 1, Score = -201.21061829524635, Avg_Score = -146.4580505925105
Episode = 2, Score = -271.16420677579436, Avg_Score = -188.0267693202718
Episode = 3, Score = -101.06714589133617, Avg_Score = -166.2868634630379
Episode = 4, Score = -208.237229334273, Avg_Score = -174.6769366372849
Episode = 5, Score = -28.875356986891745, Avg_Score = -150.3766733622194
Episode = 6, Score = -124.97272937116624, Avg_Score = -146.74753850635466
Episode = 7, Score = -132.59806113079478, Avg_Score = -144.97885383440968
Episode = 8, Score = 190.38934667218638, Avg_Score = -107.7157204447879
Episode = 9, Score = 241.3319818734597, Avg_Score = -72.81095021296315
Episode = 10, Score = 160.61372657897556, Avg_Score = -51.59052505005963
Episode = 11, Score = -13.843104173047323, Avg_Score = -48.444906643641936
Episode = 12, Score = -37.201915746547456, Avg_Score = -47.580061190019286
Episode = 13, Score = -137.6702962533089, Avg_Score = -54.015077980254254
Episode = 14, Score = 86.86931072594983, Avg_Score = -44.622785399840645
Episode = 15, Score = -173.90063156881988, Avg_Score = -52.702650785401836
Episode = 16, Score = 218.12639224477874, Avg_Score = -36.771530607155924
Episode = 17, Score = 112.84150274587122, Avg_Score = -28.459695420876635
Episode = 18, Score = -51.53632909269268, Avg_Score = -29.67425508781432
Episode = 19, Score = -52.42444349590964, Avg_Score = -30.811764508219085
Episode = 21, Score = 201.42365921715663, Avg_Score = -19.752934807010718
Episode = 22, Score = 283.36015298220366, Avg_Score = -5.975067180228246
Episode = 23, Score = 167.23255495546306, Avg_Score = 1.5556989995844195
Episode = 24, Score = 267.25191930824985, Avg_Score = 12.626374845778814
Episode = 25, Score = -1.3598365350800066, Avg_Score = 12.066926390544463
Episode = 26, Score = -58.97752653760104, Avg_Score = 9.334447431769636
Episode = 27, Score = 233.489533504223, Avg_Score = 17.636487656675317
Episode = 28, Score = 2.710086914047153, Avg_Score = 17.10340191586717
Episode = 29, Score = 192.64783548672958, Avg_Score = 23.156658245896907
Episode = 30, Score = -85.68570163756146, Avg_Score = 19.52857958311496
Episode = 31, Score = 274.90845725138126, Avg_Score = 27.766640153059036
Episode = 32, Score = 93.1990367999716, Avg_Score = 29.81140254827505
Episode = 33, Score = 208.97195087780966, Avg_Score = 35.240510073412466
Episode = 34, Score = 170.46770335120726, Avg_Score = 39.217780463935846
Episode = 35, Score = 233.79757508065748, Avg_Score = 44.77720316727075
Episode = 36, Score = 201.71737398424068, Avg_Score = 49.136652356631025
Episode = 37, Score = 190.7773697012085, Avg_Score = 52.96477985243042
Episode = 38, Score = 184.80759425850027, Avg_Score = 56.434327599958564
Episode = 39, Score = 245.56983220044276, Avg_Score = 61.283955923047905
Episode = 40, Score = 270.11123480834976, Avg_Score = 66.50463789518045
Episode = 41, Score = 272.3106055604028, Avg_Score = 71.5242956431127
Episode = 42, Score = -89.69237133425304, Avg_Score = 67.68580357222304
Episode = 43, Score = -29.404873987493062, Avg_Score = 65.42788083827615
Episode = 44, Score = -27.77671705429684, Avg_Score = 63.30959452253585
Episode = 45, Score = -121.58673039603306, Avg_Score = 59.20078730212321
Episode = 46, Score = -61.040261935865466, Avg_Score = 56.58685144912346
