Episode = 0, Score = -102.16661071625992, Avg_Score = -102.16661071625992
Episode = 1, Score = -301.3725525670102, Avg_Score = -201.76958164163506
Episode = 2, Score = -255.92996867873964, Avg_Score = -219.8230439873366
Episode = 3, Score = -348.82654240096684, Avg_Score = -252.07391859074414
Episode = 4, Score = -275.63166435075954, Avg_Score = -256.78546774274724
Episode = 5, Score = -165.14980304706802, Avg_Score = -241.51285696013403
Episode = 6, Score = -155.8213590433924, Avg_Score = -229.27121440059952
Episode = 7, Score = -100.89397549197706, Avg_Score = -213.2240595370217
Episode = 8, Score = -180.23990466966677, Avg_Score = -209.5591534406489
Episode = 9, Score = -236.62638577566298, Avg_Score = -212.26587667415032
Episode = 10, Score = -173.01734972823652, Avg_Score = -219.35095057534804
Episode = 11, Score = -298.0581007933255, Avg_Score = -219.01950539797954
Episode = 12, Score = -230.6619410788101, Avg_Score = -216.4927026379866
Episode = 13, Score = -168.11376194682396, Avg_Score = -198.4214245925723
Episode = 14, Score = -76.56480919818843, Avg_Score = -178.5147390773152
Episode = 15, Score = -203.69774896415782, Avg_Score = -182.36953366902415
Episode = 16, Score = -430.9646333070865, Avg_Score = -209.88386109539357
Episode = 17, Score = -482.81431268155194, Avg_Score = -248.07589481435107
Episode = 18, Score = -528.1008341810182, Avg_Score = -282.86198776548616
Episode = 19, Score = -171.65909216077645, Avg_Score = -276.3652584039975
Episode = 20, Score = -126.20820055925736, Avg_Score = -271.68434348709957
Episode = 21, Score = -136.28919779631556, Avg_Score = -255.50745318739865
Episode = 22, Score = -232.13962698498733, Avg_Score = -255.6552217780163
Episode = 23, Score = -425.4610028879431, Avg_Score = -281.3899458721283
Episode = 24, Score = 121.90620856824577, Avg_Score = -261.54284409548484
Episode = 25, Score = -377.83323627105176, Avg_Score = -278.95639282617424
Episode = 26, Score = -240.5274269745143, Avg_Score = -259.912672192917
Episode = 27, Score = -518.4934918919682, Avg_Score = -263.4805901139586
Episode = 28, Score = -207.41943463268507, Avg_Score = -231.41245015912529
Episode = 29, Score = -252.65737452353738, Avg_Score = -239.51227839540144
Episode = 30, Score = -63.27115594998321, Avg_Score = -233.218573934474
Episode = 31, Score = -15.91556934477316, Avg_Score = -221.1812110893198
Episode = 32, Score = -129.5073883446457, Avg_Score = -210.9179872252856
Episode = 33, Score = 134.0778817931585, Avg_Score = -154.96409875717546
Episode = 34, Score = -189.1277824206685, Avg_Score = -186.0674978560669
Episode = 35, Score = -101.4270145093152, Avg_Score = -158.42687567989324
Episode = 36, Score = -27.262315970390205, Avg_Score = -137.1003645794808
Episode = 37, Score = -456.6053692871032, Avg_Score = -130.91155231899432
Episode = 38, Score = -143.12581168549872, Avg_Score = -124.48219002427568
Episode = 39, Score = -213.10756431029716, Avg_Score = -120.52720900295166
Episode = 40, Score = -521.9844516030057, Avg_Score = -166.3985385682539
Episode = 41, Score = -195.5443752185862, Avg_Score = -184.36141915563522
Episode = 42, Score = -214.88059868088868, Avg_Score = -192.8987401892595
