Episode = 0, Score = -286.6156122648335, Avg_Score = -286.6156122648335
Episode = 1, Score = -462.78976568541435, Avg_Score = -374.7026889751239
Episode = 2, Score = -207.0530263280781, Avg_Score = -318.8194680927753
Episode = 3, Score = -107.72055007738028, Avg_Score = -266.0447385889266
Episode = 4, Score = -39.78141664549152, Avg_Score = -220.7920742002396
Episode = 5, Score = -37.13349971564923, Avg_Score = -190.18231178614118
Episode = 6, Score = -122.69531084061782, Avg_Score = -180.54131165106642
Episode = 7, Score = -158.65078229614994, Avg_Score = -177.80499548170184
Episode = 8, Score = -104.41533105422614, Avg_Score = -169.65058832309342
Episode = 9, Score = -132.13713175975346, Avg_Score = -165.89924266675942
Episode = 12, Score = -51.14942831342837, Avg_Score = -142.35262427161894
Episode = 14, Score = 8.859541400799003, Avg_Score = -95.18769356299758
Episode = 16, Score = -167.518647862754, Avg_Score = -91.23425571646517
Episode = 18, Score = -305.7360658417339, Avg_Score = -111.03580729290051
Episode = 19, Score = -52.70153528962181, Avg_Score = -112.32781915731357
Episode = 20, Score = -218.50292383999744, Avg_Score = -130.46476156974842
Episode = 21, Score = -329.46429619138326, Avg_Score = -151.14166010482492
Episode = 26, Score = -122.02894892483118, Avg_Score = -147.47947676769303
Episode = 28, Score = -226.19418074525754, Avg_Score = -159.6573617367962
Episode = 38, Score = -162.67391024431208, Avg_Score = -162.71103958525205
Episode = 43, Score = -74.75825913680205, Avg_Score = -165.0719226675894
Episode = 47, Score = -209.83257167194097, Avg_Score = -186.94113397486342
Episode = 51, Score = -74.75515549916761, Avg_Score = -177.66478473850478
Episode = 54, Score = -137.2768211460795, Avg_Score = -160.81886026893935
Episode = 56, Score = -187.551983826333, Avg_Score = -174.3039051226105
Episode = 57, Score = 70.7338545685262, Avg_Score = -145.3802272817581
Episode = 58, Score = 195.05798988415899, Avg_Score = -92.92799867420388
Episode = 59, Score = -53.29847192492956, Avg_Score = -86.05495097421371
Episode = 60, Score = -129.16692228376087, Avg_Score = -76.35222512806405
Episode = 62, Score = -13.039848730163811, Avg_Score = -61.388818976649226
Episode = 63, Score = -123.04278358892637, Avg_Score = -66.21727142186165
Episode = 65, Score = -71.92349772041709, Avg_Score = -52.42636402670926
Episode = 67, Score = -377.64901042731276, Avg_Score = -82.71574951952378
Episode = 68, Score = -41.235508506138586, Avg_Score = -73.11161825552969
Episode = 74, Score = -72.27732394524584, Avg_Score = -61.584152267420976
Episode = 76, Score = -111.76873259441365, Avg_Score = -79.83441098371495
Episode = 82, Score = 222.77498028074433, Avg_Score = -77.06271194405642
Episode = 83, Score = 272.4744386383464, Avg_Score = -44.48542088772883
Episode = 85, Score = 151.93072772334688, Avg_Score = -16.375655887018052
Episode = 86, Score = -205.4398271366133, Avg_Score = -35.615653727663
Episode = 93, Score = -59.19729927466204, Avg_Score = -29.231105296236564
Episode = 95, Score = -4.1250167265397835, Avg_Score = -22.451257196848836
Episode = 96, Score = -124.71219544548975, Avg_Score = 2.8424243013334634
Episode = 97, Score = -147.2790197856496, Avg_Score = -7.761926826617642
Episode = 100, Score = -85.2456209020992, Avg_Score = -9.058756522302971
Episode = 101, Score = -31.792585540272086, Avg_Score = -1.0611418168888178
Episode = 102, Score = 33.38366924093887, Avg_Score = -20.00027292086936
Episode = 103, Score = -85.6618519903615, Avg_Score = -55.81390198374015
Episode = 104, Score = -53.991060463694595, Avg_Score = -76.4060808024443
Episode = 105, Score = 197.80705088142065, Avg_Score = -36.0813930006409
Episode = 106, Score = -18.801484952653126, Avg_Score = -32.04181156844001
Episode = 108, Score = -230.626791859113, Avg_Score = -54.69198908169734
Episode = 109, Score = -108.81704206082627, Avg_Score = -53.10247374323099
Episode = 111, Score = 196.53139908870833, Avg_Score = -18.721431855795192
Episode = 112, Score = -61.95043704552623, Avg_Score = -16.391913470137897
Episode = 114, Score = -190.86082741494903, Avg_Score = -32.29873765760559
Episode = 115, Score = 246.54311516106176, Avg_Score = -10.982793065593299
Episode = 116, Score = -35.54709650063769, Avg_Score = -5.971317516620921
Episode = 117, Score = 234.75780351548173, Avg_Score = 22.903568881296714
Episode = 118, Score = 255.05540584027253, Avg_Score = 28.628404377181898
Episode = 119, Score = -55.69460869360704, Avg_Score = 24.93909200308651
Episode = 120, Score = -40.165771367860785, Avg_Score = 43.985194052211725
Episode = 121, Score = 200.77439060061522, Avg_Score = 74.94433731835588
Episode = 122, Score = -80.69937251216666, Avg_Score = 47.22126015826838
Episode = 123, Score = -80.95538012607476, Avg_Score = 45.32076585021353
Episode = 125, Score = -105.69604275530439, Avg_Score = 53.837244316178
Episode = 126, Score = -107.58112771272728, Avg_Score = 18.424820028799093
Episode = 128, Score = 299.98368348551304, Avg_Score = 51.977898027414156
Episode = 129, Score = 4.126552948434963, Avg_Score = 28.914772970709485
Episode = 130, Score = 249.2065604762052, Avg_Score = 28.329888434302752
Episode = 131, Score = -12.78194320844517, Avg_Score = 32.621154982818936
Episode = 132, Score = -4.8516098618165415, Avg_Score = 36.152571133423365
Episode = 133, Score = 219.5142882178872, Avg_Score = 38.02656089515056
Episode = 134, Score = -10.201070689976348, Avg_Score = 45.07639107736959
Episode = 135, Score = 175.280722117152, Avg_Score = 70.70000130169225
Episode = 136, Score = -135.37220992478197, Avg_Score = 67.73238458474451
Episode = 137, Score = 227.28292921401942, Avg_Score = 101.21879027741917
Episode = 138, Score = 234.50991153226127, Avg_Score = 94.671413082094
Episode = 139, Score = 220.78562771726706, Avg_Score = 116.33732055897721
Episode = 140, Score = -25.83034409700292, Avg_Score = 88.83363010165641
Episode = 141, Score = 180.17307401295676, Avg_Score = 108.1291318237966
