Episode = 0, Score = 211.7692452219339, Avg_Score = 211.7692452219339
Episode = 1, Score = -22.296278238433956, Avg_Score = 94.73648349174996
Episode = 2, Score = -32.489841542547865, Avg_Score = 52.32770848031735
Episode = 3, Score = 235.86560753984025, Avg_Score = 98.21218324519808
Episode = 4, Score = 246.13442958765236, Avg_Score = 127.79663251368893
Episode = 5, Score = 56.049584127677775, Avg_Score = 115.8387911160204
Episode = 6, Score = 231.56676376349495, Avg_Score = 132.3713586370882
Episode = 7, Score = 276.5341102426896, Avg_Score = 150.39170258778836
Episode = 8, Score = 225.7017935151478, Avg_Score = 158.75949046860606
Episode = 9, Score = 269.94597671372065, Avg_Score = 169.87813909311754
Episode = 10, Score = 291.83103338486114, Avg_Score = 177.88431790941027
Episode = 11, Score = 230.3365990795519, Avg_Score = 203.14760564120883
Episode = 12, Score = 258.90297458864626, Avg_Score = 232.2868872543283
Episode = 13, Score = 260.1620864098894, Avg_Score = 234.71653514133322
Episode = 14, Score = 298.9280241043843, Avg_Score = 239.99589459300637
Episode = 15, Score = 242.59490921396144, Avg_Score = 258.6504271016347
Episode = 16, Score = 250.87388625207734, Avg_Score = 260.58113935049295
Episode = 17, Score = 14.410400557903301, Avg_Score = 234.36876838201437
Episode = 18, Score = 256.0549533637617, Avg_Score = 237.40408436687576
Episode = 19, Score = 149.94060817078622, Avg_Score = 225.4035475125823
Episode = 20, Score = 283.4198808106314, Avg_Score = 224.56243225515928
Episode = 21, Score = 271.51008610923435, Avg_Score = 228.6797809581276
Episode = 22, Score = 229.993828131083, Avg_Score = 225.78886631237123
Episode = 23, Score = 241.36342304529967, Avg_Score = 223.9089999759123
Episode = 24, Score = -17.958636971320715, Avg_Score = 192.2203338683418
Episode = 25, Score = 285.8347879481941, Avg_Score = 196.54432174176506
Episode = 26, Score = -18.15285529445545, Avg_Score = 169.64164758711175
Episode = 27, Score = 284.46536818241015, Avg_Score = 196.64714434956244
Episode = 28, Score = -14.225828996234284, Avg_Score = 169.61906611356287
Episode = 29, Score = 246.1392483293983, Avg_Score = 179.2389301294241
Episode = 30, Score = 235.31320523816433, Avg_Score = 174.42826257217735
Episode = 31, Score = 297.49663663856984, Avg_Score = 177.0269176251109
Episode = 32, Score = 278.1097406723559, Avg_Score = 181.8385088792382
Episode = 33, Score = 255.7907454512457, Avg_Score = 183.2812411198328
Episode = 34, Score = 280.5174693121461, Avg_Score = 213.12885174817947
Episode = 35, Score = 288.3801074029308, Avg_Score = 213.38338369365312
Episode = 36, Score = 276.4108796954897, Avg_Score = 242.83975719264768
Episode = 37, Score = 258.06606521895355, Avg_Score = 240.199826896302
Episode = 38, Score = 260.40342028238337, Avg_Score = 267.66275182416376
Episode = 39, Score = 265.8124680742167, Avg_Score = 269.6300737986456
Episode = 40, Score = 253.7134755429289, Avg_Score = 271.4701008291221
Episode = 41, Score = 277.57224110363063, Avg_Score = 269.47766127562807
Episode = 42, Score = 303.11769064315615, Avg_Score = 271.9784562727081
Episode = 43, Score = 283.84801497506635, Avg_Score = 274.7841832250902
Episode = 44, Score = 251.68319691298134, Avg_Score = 271.90075598517376
Episode = 45, Score = 259.4607744407208, Avg_Score = 269.00882268895276
Episode = 46, Score = 289.9349835984975, Avg_Score = 270.36123307925357
Episode = 47, Score = 244.5505112817665, Avg_Score = 269.0096776855348
Episode = 48, Score = 301.41785338994293, Avg_Score = 273.11112099629077
Episode = 49, Score = 265.0695226473848, Avg_Score = 273.0368264536076
Episode = 50, Score = 259.3743944359808, Avg_Score = 273.6029183429128
Episode = 51, Score = 292.43156622025, Avg_Score = 275.08885085457473
Episode = 52, Score = 259.6709526305003, Avg_Score = 270.7441770533091
Episode = 53, Score = 266.82510862527147, Avg_Score = 269.0418864183296
Episode = 54, Score = 188.54240530849, Avg_Score = 262.7278072578805
Episode = 55, Score = 113.97260701932674, Avg_Score = 248.17899051574108
Episode = 56, Score = 239.49607674895668, Avg_Score = 243.13509983078706
Episode = 57, Score = 280.92077744668825, Avg_Score = 246.7721264472792
Episode = 58, Score = 257.35357963124653, Avg_Score = 242.36569907140955
Episode = 59, Score = 263.79729625268016, Avg_Score = 242.2384764319391
Episode = 60, Score = 281.11612320850384, Avg_Score = 244.4126493091914
Episode = 61, Score = 251.53725697175005, Avg_Score = 240.3232183843414
Episode = 62, Score = 300.2658882646339, Avg_Score = 244.38271194775476
Episode = 63, Score = 246.87872462319905, Avg_Score = 242.38807354754755
Episode = 64, Score = 272.74195964261446, Avg_Score = 250.80802898095993
Episode = 65, Score = 260.96149765510853, Avg_Score = 265.5069180445381
Episode = 66, Score = 297.13912234009626, Avg_Score = 271.27122260365206
Episode = 67, Score = 244.67499062898747, Avg_Score = 267.646643921882
Episode = 68, Score = 261.59732113443016, Avg_Score = 268.07101807220045
Episode = 69, Score = 271.42982087995927, Avg_Score = 268.8342705349283
Episode = 70, Score = 211.68858989901258, Avg_Score = 261.89151720397916
Episode = 71, Score = 213.7771235874634, Avg_Score = 258.1155038655505
Episode = 72, Score = 261.5299998125213, Avg_Score = 254.24191502033926
Episode = 73, Score = -8.081368333223153, Avg_Score = 228.74590572469702
Episode = 74, Score = 243.1764822327088, Avg_Score = 225.78935798370648
Episode = 75, Score = 218.52590232260644, Avg_Score = 221.54579845045623
Episode = 76, Score = 197.24345423193776, Avg_Score = 211.55623163964043
Episode = 77, Score = 266.5611884431791, Avg_Score = 213.74485142105954
Episode = 78, Score = 255.7593793126749, Avg_Score = 213.16105723888404
Episode = 79, Score = 282.01497309610374, Avg_Score = 214.21957246049845
Episode = 80, Score = 269.7541241528123, Avg_Score = 220.02612588587846
Episode = 81, Score = 261.3964030359457, Avg_Score = 224.78805383072668
Episode = 82, Score = 301.94868178281524, Avg_Score = 228.82992202775608
Episode = 83, Score = 257.131696929388, Avg_Score = 255.35122855401718
Episode = 84, Score = 210.46801775428537, Avg_Score = 252.08038210617488
Episode = 85, Score = 259.44490362702214, Avg_Score = 256.1722822366164
Episode = 86, Score = 287.54294348795725, Avg_Score = 265.2022311622184
Episode = 87, Score = 253.3691898024594, Avg_Score = 263.8830312981464
Episode = 88, Score = 250.535706065848, Avg_Score = 263.3606639734637
Episode = 89, Score = 240.11966837821512, Avg_Score = 259.1711335016749
Episode = 90, Score = 297.1356294920173, Avg_Score = 261.90928403559536
Episode = 91, Score = 233.37233151391743, Avg_Score = 259.10687688339254
Episode = 92, Score = 239.2888513446054, Avg_Score = 252.84089383957152
Episode = 93, Score = -41.2512687550551, Avg_Score = 223.00259727112726
Episode = 94, Score = -32.134484871474655, Avg_Score = 198.7423470085512
Episode = 95, Score = 209.72919234070258, Avg_Score = 193.7707758799193
Episode = 96, Score = 9.34433324898636, Avg_Score = 165.9509148560222
Episode = 97, Score = 272.47789043721997, Avg_Score = 167.86178491949823
Episode = 98, Score = 279.6300851401155, Avg_Score = 170.771222826925
Episode = 99, Score = 277.4082838616915, Avg_Score = 174.50008437527262
Episode = 100, Score = 260.2456468908865, Avg_Score = 170.81108611515953
Episode = 101, Score = 91.66835704430919, Avg_Score = 156.64068866819872
Episode = 102, Score = 292.8540875204993, Avg_Score = 161.9972122857881
Episode = 103, Score = 238.57596335674944, Avg_Score = 189.97993549696858
Episode = 104, Score = 236.04254372807793, Avg_Score = 216.79763835692384
Episode = 105, Score = -23.129504847341565, Avg_Score = 193.51176863811943
Episode = 106, Score = 228.97385230971904, Avg_Score = 215.47472054419268
Episode = 107, Score = 286.9308943756399, Avg_Score = 216.92002093803467
Episode = 108, Score = 294.13330418659274, Avg_Score = 218.3703428426824
Episode = 109, Score = 279.80053313401004, Avg_Score = 218.60956776991424
Episode = 110, Score = 246.05091837164545, Avg_Score = 217.19009491799017
Episode = 111, Score = -8.28706830022719, Avg_Score = 207.19455238353652
Episode = 112, Score = 245.72557350365932, Avg_Score = 202.4817009818525
