Episode = 0, Score = 80.61453248775383, Avg_Score = 80.61453248775383
Episode = 1, Score = 75.89810587432223, Avg_Score = 78.25631918103804
Episode = 2, Score = 45.942806348371214, Avg_Score = 67.48514823681576
Episode = 3, Score = 194.19470345241024, Avg_Score = 99.16253704071438
Episode = 4, Score = 72.84782006526727, Avg_Score = 93.89959364562496
Episode = 5, Score = 109.91116025910578, Avg_Score = 96.56818808120511
Episode = 6, Score = 43.57833818340508, Avg_Score = 88.99820952437653
Episode = 7, Score = 48.467012246203666, Avg_Score = 83.93180986460492
Episode = 8, Score = 117.74090945325887, Avg_Score = 87.68837648556647
Episode = 9, Score = 169.25042262128983, Avg_Score = 95.84458109913881
Episode = 10, Score = 64.66432285460114, Avg_Score = 94.24956013582353
Episode = 11, Score = -21.21339032208975, Avg_Score = 84.53841051618232
Episode = 12, Score = 72.53283131688595, Avg_Score = 87.19741301303381
Episode = 13, Score = 163.40437551642617, Avg_Score = 84.11838021943541
Episode = 14, Score = 146.0520501291224, Avg_Score = 91.4388032258209
Episode = 15, Score = 143.53765131731967, Avg_Score = 94.80145233164231
Episode = 16, Score = 15.568681081290336, Avg_Score = 92.00048662143084
Episode = 17, Score = 121.49720956819687, Avg_Score = 99.30350635363015
Episode = 18, Score = 73.47403761195856, Avg_Score = 94.87681916950012
Episode = 19, Score = 86.90305929931174, Avg_Score = 86.6420828373023
Episode = 20, Score = 12.94877388493721, Avg_Score = 81.47052794033591
Episode = 21, Score = 5.098261365320042, Avg_Score = 84.10169310907689
Episode = 22, Score = 71.91790976634032, Avg_Score = 84.04020095402232
Episode = 23, Score = 144.5626266836102, Avg_Score = 82.15602607074074
Episode = 24, Score = 102.50842453842156, Avg_Score = 77.80166351167065
Episode = 25, Score = 157.9677569935104, Avg_Score = 79.24467407928972
Episode = 26, Score = 95.43562971177786, Avg_Score = 87.23136894233849
Episode = 27, Score = -10.18385285030746, Avg_Score = 74.06326270048805
Episode = 28, Score = 51.57235042551807, Avg_Score = 71.873093981844
Episode = 29, Score = -0.45157635010964725, Avg_Score = 63.13763041690184
Episode = 30, Score = 185.50651982523215, Avg_Score = 80.39340501093133
Episode = 31, Score = 17.25946621757504, Avg_Score = 81.60952549615683
Episode = 32, Score = 44.13401110913628, Avg_Score = 78.83113563043644
Episode = 33, Score = 86.36706743158987, Avg_Score = 73.01157970523441
Episode = 34, Score = 164.81135662965247, Avg_Score = 79.24187291435751
Episode = 35, Score = 26.36000693989456, Avg_Score = 66.08109790899593
Episode = 36, Score = 62.99674723554379, Avg_Score = 62.83720966137251
Episode = 37, Score = 22.388767344908402, Avg_Score = 66.0944716808941
Episode = 38, Score = -37.15034346057635, Avg_Score = 57.222202292284656
Episode = 39, Score = 85.08710921613425, Avg_Score = 65.77607084890903
Episode = 40, Score = 64.34543737639768, Avg_Score = 53.6599626040256
Episode = 41, Score = 77.52997596031733, Avg_Score = 59.68701357829983
Episode = 42, Score = 48.16850858655718, Avg_Score = 60.09046332604193
Episode = 43, Score = 65.00796164582432, Avg_Score = 57.95455274746537
Episode = 44, Score = 153.4864946505475, Avg_Score = 56.82206654955487
Episode = 45, Score = 58.31597159630746, Avg_Score = 60.01766301519615
Episode = 46, Score = 147.91573931602505, Avg_Score = 68.50956222324427
