Episode = 0, Score = 99.32670036826552, Avg_Score = 99.32670036826552
Episode = 1, Score = 273.02011788087214, Avg_Score = 186.17340912456882
Episode = 2, Score = 125.49144992496974, Avg_Score = 165.94608939136913
Episode = 3, Score = 6.766295626407114, Avg_Score = 126.15114095012862
Episode = 4, Score = 137.10847497790314, Avg_Score = 128.34260775568353
Episode = 5, Score = -132.75826198990436, Avg_Score = 84.82579613141888
Episode = 6, Score = 181.74294032688005, Avg_Score = 98.67110244505618
Episode = 7, Score = 160.30711573578603, Avg_Score = 106.37560410639742
Episode = 8, Score = 178.7936146846121, Avg_Score = 114.42204972619905
Episode = 9, Score = 130.25544097635924, Avg_Score = 116.00538885121507
Episode = 10, Score = 159.7187614667476, Avg_Score = 122.04459496106327
Episode = 11, Score = 214.12280287635343, Avg_Score = 116.15486346061141
Episode = 12, Score = 112.54408361926414, Avg_Score = 114.86012683004083
Episode = 13, Score = 273.2270523864162, Avg_Score = 141.5062025060418
Episode = 14, Score = 183.1986094396881, Avg_Score = 146.11521595222024
Episode = 15, Score = 167.4014282575251, Avg_Score = 176.1311849769632
Episode = 16, Score = 175.24330231587405, Avg_Score = 175.48122117586257
Episode = 17, Score = 251.3750178099774, Avg_Score = 184.58801138328172
Episode = 18, Score = 151.25974242496295, Avg_Score = 181.8346241573168
Episode = 19, Score = 132.7583719944497, Avg_Score = 182.08491725912586
Episode = 20, Score = 292.23553756785293, Avg_Score = 195.3365948692364
Episode = 21, Score = 179.62303020290273, Avg_Score = 191.88661760189137
Episode = 22, Score = 125.09246131392901, Avg_Score = 193.14145537135784
Episode = 23, Score = 128.74869210784865, Avg_Score = 178.6936193435011
Episode = 24, Score = 187.56573632770807, Avg_Score = 179.13033203230304
Episode = 25, Score = 125.1718206848488, Avg_Score = 174.90737127503544
Episode = 26, Score = 121.55895106736226, Avg_Score = 169.53893615018424
Episode = 27, Score = 115.61155897665432, Avg_Score = 155.96259026685195
Episode = 28, Score = 120.98664535118809, Avg_Score = 152.93528055947445
Episode = 29, Score = 136.66075281126552, Avg_Score = 153.32551864115604
Episode = 30, Score = 227.61662545374946, Avg_Score = 146.8636274297457
Episode = 31, Score = 178.2105945451171, Avg_Score = 146.72238386396714
Episode = 32, Score = 162.55235673775317, Avg_Score = 150.46837340634954
Episode = 33, Score = 145.74871939736187, Avg_Score = 152.16837613530086
Episode = 34, Score = 156.1358925806209, Avg_Score = 149.02539176059216
Episode = 35, Score = 170.46898622754188, Avg_Score = 153.55510831486146
Episode = 36, Score = 165.60438077056338, Avg_Score = 157.95965128518156
Episode = 37, Score = 149.73598957572227, Avg_Score = 161.37209434508839
Episode = 38, Score = 170.4430642456047, Avg_Score = 166.31773623453003
Episode = 39, Score = 294.62565683904444, Avg_Score = 182.11422663730792
Episode = 40, Score = 32.423004803402875, Avg_Score = 162.59486457227325
Episode = 41, Score = 120.10356722274281, Avg_Score = 156.78416184003584
Episode = 42, Score = 197.72371104150628, Avg_Score = 160.30129727041114
Episode = 43, Score = 113.64259117207826, Avg_Score = 157.09068444788278
Episode = 44, Score = 287.3069193667363, Avg_Score = 170.20778712649434
Episode = 45, Score = 167.31839854538433, Avg_Score = 169.8927283582786
Episode = 46, Score = 165.06269367702083, Avg_Score = 169.83855964892433
Episode = 47, Score = 5.846472269476735, Avg_Score = 155.44960791829976
Episode = 48, Score = 179.2348842776829, Avg_Score = 156.3287899215076
Episode = 49, Score = -25.391143895946144, Avg_Score = 124.32710984800852
Episode = 50, Score = 124.9454934274355, Avg_Score = 133.57935871041178
