Episode = 0, Score = 309.19520187919375, Avg_Score = 309.19520187919375
Episode = 1, Score = 296.1258283327775, Avg_Score = 302.6605151059856
Episode = 2, Score = 245.32917980196046, Avg_Score = 283.5500700046439
Episode = 3, Score = 49.21416463789589, Avg_Score = 224.9660936629569
Episode = 4, Score = 106.86244413673165, Avg_Score = 201.34536375771185
Episode = 5, Score = -37.08217624864635, Avg_Score = 161.60744042331882
Episode = 6, Score = 240.31528469699734, Avg_Score = 172.85141817670146
Episode = 7, Score = 226.9478980780308, Avg_Score = 179.61347816436762
Episode = 8, Score = 145.90520151868475, Avg_Score = 175.8681140926251
Episode = 9, Score = 247.35753117248066, Avg_Score = 183.01705580061065
Episode = 10, Score = 157.0970020510682, Avg_Score = 167.80723581779807
Episode = 11, Score = 281.74847165982544, Avg_Score = 166.3695001505029
Episode = 12, Score = 205.28882201691425, Avg_Score = 162.36546437199826
Episode = 13, Score = 103.26017523940635, Avg_Score = 167.77006543214932
Episode = 14, Score = 263.6544851332244, Avg_Score = 183.4492695317986
Episode = 15, Score = 267.6363472590329, Avg_Score = 213.92112188256652
Episode = 16, Score = 28.71217815335578, Avg_Score = 192.76081122820236
Episode = 17, Score = -22.168629626743353, Avg_Score = 167.84915845772494
Episode = 18, Score = 293.3541789766476, Avg_Score = 182.59405620352123
Episode = 19, Score = 258.73250757832506, Avg_Score = 183.73155384410566
Episode = 20, Score = 165.36477291628626, Avg_Score = 184.55833093062748
Episode = 21, Score = -65.24509078204574, Avg_Score = 149.85897468644035
Episode = 22, Score = -33.370209884263744, Avg_Score = 125.99307149632257
Episode = 23, Score = 269.42461757034346, Avg_Score = 142.60951572941627
Episode = 24, Score = 252.41535155274022, Avg_Score = 141.48560237136786
Episode = 25, Score = 265.31923865091903, Avg_Score = 141.25389151055646
Episode = 26, Score = 242.33423192671833, Avg_Score = 162.6160968878927
Episode = 27, Score = -16.30056533798266, Avg_Score = 163.20290331676878
Episode = 28, Score = 280.94329645576, Avg_Score = 161.96181506468002
Episode = 29, Score = 98.89369176527946, Avg_Score = 145.97793348337547
Episode = 30, Score = 282.32173398677065, Avg_Score = 157.6736295904239
Episode = 31, Score = 306.133309032036, Avg_Score = 194.81146957183205
Episode = 32, Score = 276.71034650863436, Avg_Score = 225.81952521112186
Episode = 33, Score = 232.20072476207977, Avg_Score = 222.09713593029556
Episode = 34, Score = 191.51890221864733, Avg_Score = 216.0074909968862
Episode = 35, Score = -24.40506459643825, Avg_Score = 187.0350606721505
Episode = 36, Score = 272.4591257832647, Avg_Score = 190.04755005780513
Episode = 37, Score = 195.45918718913103, Avg_Score = 211.22352531051652
Episode = 38, Score = 104.65631515934021, Avg_Score = 193.59482718087452
Episode = 39, Score = -235.9491035731386, Avg_Score = 160.11054764703272
Episode = 40, Score = 262.3774985947261, Avg_Score = 158.11612410782828
Episode = 41, Score = 238.04658751372014, Avg_Score = 151.30745195599667
Episode = 42, Score = 106.59869143122611, Avg_Score = 134.29628644825584
Episode = 43, Score = 260.21466269751465, Avg_Score = 137.09768024179934
Episode = 44, Score = 250.21870613316005, Avg_Score = 142.96766063325063
Episode = 45, Score = 261.15989158026946, Avg_Score = 171.5241562509214
Episode = 46, Score = 278.5706019478629, Avg_Score = 172.1353038673812
Episode = 47, Score = 215.30473871463366, Avg_Score = 174.11985901993145
Episode = 48, Score = 251.42950590860582, Avg_Score = 188.797178094858
Episode = 49, Score = 253.8385686469579, Avg_Score = 237.77594531686768
Episode = 50, Score = 248.50089102154624, Avg_Score = 236.38828455954967
Episode = 51, Score = 279.275302760972, Avg_Score = 240.51115608427486
Episode = 52, Score = 265.997386441884, Avg_Score = 256.45102558534063
Episode = 53, Score = 237.66313504252028, Avg_Score = 254.19587281984127
Episode = 54, Score = 305.2478556815538, Avg_Score = 259.6987877746807
Episode = 55, Score = 304.2191348594582, Avg_Score = 264.00471210259946
Episode = 56, Score = -24.0205580948965, Avg_Score = 233.74559609832355
Episode = 57, Score = 235.64839508302316, Avg_Score = 235.7799617351625
Episode = 58, Score = 156.56089880316642, Avg_Score = 226.29310102461855
Episode = 59, Score = 241.00519227260546, Avg_Score = 225.00976338718334
Episode = 60, Score = 143.8477375373166, Avg_Score = 214.54444803876032
Episode = 61, Score = 271.1539675502413, Avg_Score = 213.73231451768726
Episode = 62, Score = 263.6896846856498, Avg_Score = 213.50154434206388
Episode = 63, Score = 290.6621234235389, Avg_Score = 218.80144318016573
Episode = 64, Score = 238.69380432202342, Avg_Score = 212.14603804421267
Episode = 65, Score = 287.30812493687273, Avg_Score = 210.45493705195412
Episode = 66, Score = 309.4582115121748, Avg_Score = 243.8028140126613
Episode = 67, Score = 291.88770775040797, Avg_Score = 249.4267452793997
Episode = 68, Score = 152.0932143569557, Avg_Score = 248.97997683477865
