Episode = 0, Score = -228.3593513292072, Avg_Score = -228.3593513292072
Episode = 1, Score = -142.1523740476196, Avg_Score = -185.2558626884134
Episode = 2, Score = -275.77434990295126, Avg_Score = -215.428691759926
Episode = 3, Score = -114.90806406155463, Avg_Score = -190.29853483533316
Episode = 4, Score = -288.67122345435564, Avg_Score = -209.97307255913765
Episode = 5, Score = -551.932097863817, Avg_Score = -266.9662434432509
Episode = 6, Score = -210.17540095167078, Avg_Score = -258.8532659444537
Episode = 7, Score = -144.98341132860253, Avg_Score = -244.6195341174723
Episode = 8, Score = -328.31417855145446, Avg_Score = -253.91893905458144
Episode = 9, Score = -306.1006683890425, Avg_Score = -259.1371119880275
Episode = 10, Score = -345.99200419179215, Avg_Score = -270.90037727428603
Episode = 11, Score = -180.40371537970483, Avg_Score = -274.7255114074946
Episode = 12, Score = -299.6852383016981, Avg_Score = -277.1166002473693
Episode = 13, Score = -111.71381624196935, Avg_Score = -276.7971754654107
Episode = 14, Score = -284.80239260575314, Avg_Score = -276.41029238055046
Episode = 15, Score = -331.28132976001206, Avg_Score = -254.34521557016996
Episode = 16, Score = -246.6834676206863, Avg_Score = -257.99602223707154
Episode = 17, Score = -315.42272522557664, Avg_Score = -275.039953626769
Episode = 18, Score = -333.1352358394277, Avg_Score = -275.5220593555663
Episode = 19, Score = -237.17575234895355, Avg_Score = -268.6295677515574
Episode = 20, Score = -357.9520905677499, Avg_Score = -269.8255763891532
Episode = 21, Score = -282.4366359044042, Avg_Score = -280.0288684416231
Episode = 22, Score = -292.5240225840672, Avg_Score = -279.31274686986
Episode = 23, Score = -176.37863856510202, Avg_Score = -285.77922910217325
Episode = 24, Score = -191.64922905328456, Avg_Score = -276.4639127469264
Episode = 25, Score = -244.55663661782114, Avg_Score = -267.79144343270735
Episode = 26, Score = -295.0578561989443, Avg_Score = -272.62888229053306
Episode = 27, Score = -206.3420709419313, Avg_Score = -261.7208168621686
Episode = 28, Score = -249.829507786065, Avg_Score = -253.3902440568323
Episode = 29, Score = -334.5136944601925, Avg_Score = -263.12403826795617
Episode = 30, Score = -327.7870267909154, Avg_Score = -260.10753189027275
Episode = 31, Score = -299.16452247410274, Avg_Score = -261.78032054724264
Episode = 32, Score = -267.3495252045108, Avg_Score = -259.262870809287
Episode = 33, Score = -280.1441957376056, Avg_Score = -269.6394265265373
Episode = 34, Score = -330.2525336749615, Avg_Score = -283.49975698870503
Episode = 35, Score = -256.74028520637285, Avg_Score = -284.71812184756016
Episode = 36, Score = -294.8185865355142, Avg_Score = -284.6941948812172
Episode = 37, Score = -268.13190336014804, Avg_Score = -290.8731781230389
Episode = 38, Score = -333.26298256392647, Avg_Score = -299.21652560082504
Episode = 39, Score = -301.56133874269943, Avg_Score = -295.9212900290757
Episode = 40, Score = -268.0624421715456, Avg_Score = -289.94883156713865
Episode = 41, Score = -273.09687991401404, Avg_Score = -287.3420673111299
Episode = 42, Score = -241.3503164251095, Avg_Score = -284.74214643318976
Episode = 43, Score = -301.72094221939307, Avg_Score = -286.8998210813685
Episode = 44, Score = -275.07725711868903, Avg_Score = -281.3822934257413
Episode = 45, Score = -262.82466216443663, Avg_Score = -281.9907311215476
Episode = 46, Score = -177.40706573190525, Avg_Score = -270.24957904118673
Episode = 47, Score = -267.6190134808457, Avg_Score = -270.19829005325647
Episode = 48, Score = -248.72619208815775, Avg_Score = -261.74461100567964
Episode = 49, Score = -256.097767251379, Avg_Score = -257.1982538565476
Episode = 50, Score = -259.7756499081192, Avg_Score = -256.3695746302049
Episode = 51, Score = -240.80189964079776, Avg_Score = -253.14007660288325
Episode = 52, Score = -357.1412713994141, Avg_Score = -264.71917210031376
Episode = 53, Score = -260.6908202829443, Avg_Score = -260.6161599066689
Episode = 54, Score = -352.6480447275103, Avg_Score = -268.373238667551
Episode = 55, Score = -264.9876596647181, Avg_Score = -268.58953841757915
Episode = 56, Score = -294.1630771816046, Avg_Score = -280.26513956254905
Episode = 57, Score = -205.40088563818648, Avg_Score = -274.04332677828313
