Episode = 0, Score = 211.24441128884234, Avg_Score = 211.24441128884234
Episode = 1, Score = 114.65800772512792, Avg_Score = 162.95120950698512
Episode = 2, Score = 22.731608224080716, Avg_Score = 116.21134241268366
Episode = 3, Score = 256.3996718147629, Avg_Score = 151.25842476320346
Episode = 4, Score = 37.53224873546313, Avg_Score = 128.51318955765538
Episode = 5, Score = 267.44841982120556, Avg_Score = 151.66906126824708
Episode = 6, Score = 253.10519651662963, Avg_Score = 166.15993773230176
Episode = 7, Score = 289.10435324403846, Avg_Score = 181.5279896712688
Episode = 8, Score = 255.88553605138435, Avg_Score = 189.78993926905943
Episode = 9, Score = 48.90634549491284, Avg_Score = 175.70157989164477
Episode = 10, Score = 5.277238431675499, Avg_Score = 155.10486260592808
Episode = 11, Score = 57.929605146827384, Avg_Score = 149.43202234809806
Episode = 12, Score = -24.21796665610023, Avg_Score = 144.73706486007993
Episode = 13, Score = 39.445006342564, Avg_Score = 123.04159831286006
Episode = 14, Score = 216.11293317921562, Avg_Score = 140.8996667572353
Episode = 15, Score = 242.58239582013252, Avg_Score = 138.413064357128
Episode = 16, Score = 160.76845002087296, Avg_Score = 129.17938970755233
Episode = 17, Score = 29.492988159695244, Avg_Score = 103.21825319911802
Episode = 18, Score = 161.07102266570348, Avg_Score = 93.73680186054993
Episode = 19, Score = 236.1231111228472, Avg_Score = 112.45847842334338
Episode = 20, Score = 23.283097646526343, Avg_Score = 114.25906434482845
Episode = 21, Score = 222.9496888433162, Avg_Score = 130.7610727144773
Episode = 22, Score = 240.07743775089475, Avg_Score = 157.1906131551768
Episode = 23, Score = 252.69479874472486, Avg_Score = 178.51559239539293
Episode = 24, Score = 273.54957493725635, Avg_Score = 184.259256571197
Episode = 25, Score = 160.7708635449251, Avg_Score = 176.07810334367625
Episode = 26, Score = 237.1176263594938, Avg_Score = 183.71302097753835
Episode = 27, Score = 158.7420435840353, Avg_Score = 196.63792651997238
Episode = 28, Score = 245.56048364304198, Avg_Score = 205.0868726177062
Episode = 29, Score = 107.61928718336753, Avg_Score = 192.23649022375824
Episode = 30, Score = 283.0397530152979, Avg_Score = 218.21215576063537
Episode = 31, Score = -64.00890524173727, Avg_Score = 189.51629635213004
Episode = 32, Score = 218.25683339757472, Avg_Score = 187.33423591679804
