Episode = 0, Score = 232.36350079169512, Avg_Score = 232.36350079169512
Episode = 1, Score = 275.6184197802737, Avg_Score = 253.99096028598441
Episode = 2, Score = 88.15876648773393, Avg_Score = 198.71356235323424
Episode = 3, Score = 280.5217270057153, Avg_Score = 219.1656035163545
Episode = 4, Score = 162.02927886917718, Avg_Score = 207.73833858691904
Episode = 5, Score = 276.62124342810364, Avg_Score = 219.2188227271165
Episode = 6, Score = 195.96137650421383, Avg_Score = 215.89633040955897
Episode = 7, Score = 270.8699512905559, Avg_Score = 222.76803301968357
Episode = 8, Score = 223.0752842677631, Avg_Score = 222.80217204724795
Episode = 9, Score = 213.85238403303032, Avg_Score = 221.9071932458262
Episode = 10, Score = 265.98323772537015, Avg_Score = 225.9141063803302
Episode = 11, Score = 132.64696942457599, Avg_Score = 218.1418449673507
Episode = 12, Score = 108.26608482807542, Avg_Score = 209.68986341817566
Episode = 13, Score = 148.89789808804323, Avg_Score = 205.34758018030905
Episode = 14, Score = 29.180082211453026, Avg_Score = 193.60308031571864
Episode = 15, Score = 297.4527797798198, Avg_Score = 200.09368653222498
Episode = 16, Score = 137.42440468383958, Avg_Score = 196.4072581882023
Episode = 17, Score = 121.45087145065852, Avg_Score = 192.243014480561
Episode = 18, Score = 233.86384312664467, Avg_Score = 194.43358440930223
Episode = 19, Score = 263.16999993747515, Avg_Score = 197.87040518571087
Episode = 20, Score = 275.0048180503593, Avg_Score = 201.54347246497986
Episode = 21, Score = 272.52330435829845, Avg_Score = 204.7698284601307
Episode = 22, Score = 294.8012186942333, Avg_Score = 208.68423673117863
Episode = 23, Score = 153.65510228483944, Avg_Score = 206.39135612924784
Episode = 24, Score = 244.7731448215867, Avg_Score = 207.9266276769414
Episode = 25, Score = 2.0595024225597625, Avg_Score = 200.00866132100361
Episode = 26, Score = 262.9418568835318, Avg_Score = 202.33952041591206
Episode = 27, Score = 259.8440730896964, Avg_Score = 204.3932544399758
Episode = 28, Score = 157.2759686945986, Avg_Score = 202.76852044875588
Episode = 29, Score = 251.4169396882109, Avg_Score = 204.3901344234044
Episode = 30, Score = 276.34845773974905, Avg_Score = 206.7113706594155
Episode = 31, Score = 244.55634481617756, Avg_Score = 207.89402610181435
Episode = 32, Score = 221.68492566708872, Avg_Score = 208.3119321492469
Episode = 33, Score = 161.93112194838739, Avg_Score = 206.947790672751
Episode = 34, Score = 147.981387879415, Avg_Score = 205.26303630722714
Episode = 35, Score = 114.93735830145388, Avg_Score = 202.75398969595565
Episode = 36, Score = 256.3710732417054, Avg_Score = 204.203100062057
Episode = 37, Score = 280.9365014343927, Avg_Score = 206.2224000981711
Episode = 38, Score = 244.3930010651107, Avg_Score = 207.20113345629778
Episode = 39, Score = 236.14522063510825, Avg_Score = 207.924735635768
Episode = 40, Score = 274.1791542032338, Avg_Score = 209.54069706424278
Episode = 41, Score = 145.48473117620415, Avg_Score = 208.01555501928948
Episode = 42, Score = 276.0830836736952, Avg_Score = 209.59852080195006
Episode = 43, Score = 249.88022283663128, Avg_Score = 210.514014030011
Episode = 44, Score = 252.69299886434118, Avg_Score = 211.4513248041072
Episode = 45, Score = 254.66617785438194, Avg_Score = 212.3907781312871
Episode = 46, Score = 112.60723954856476, Avg_Score = 210.26772411888874
Episode = 47, Score = 273.8364569671406, Avg_Score = 211.59207271989405
Episode = 48, Score = 229.6493866788049, Avg_Score = 211.96058933130035
Episode = 49, Score = 249.39824412369123, Avg_Score = 212.7093424271482
Episode = 50, Score = 257.361767150279, Avg_Score = 213.58488016681744
Episode = 51, Score = 288.51723368246553, Avg_Score = 215.02588696519527
Episode = 52, Score = 236.54269522767373, Avg_Score = 215.43186447958166
Episode = 53, Score = 262.16376072903375, Avg_Score = 216.29726996568263
Episode = 54, Score = 235.38730085146653, Avg_Score = 216.64436143633324
Episode = 55, Score = 244.8158777459423, Avg_Score = 217.14742422757627
Episode = 56, Score = 256.21616351956595, Avg_Score = 217.8328407063831
Episode = 57, Score = 228.19535721884694, Avg_Score = 218.0115047841842
Episode = 58, Score = 144.4849639715834, Avg_Score = 216.76529222803842
Episode = 59, Score = 256.0182621100138, Avg_Score = 217.419508392738
Episode = 60, Score = 285.88861971304226, Avg_Score = 218.54195284061183
Episode = 61, Score = 115.17913083757209, Avg_Score = 216.87481055024023
Episode = 62, Score = 237.54438339760003, Avg_Score = 217.20289900813484
Episode = 63, Score = 253.17087954390422, Avg_Score = 217.76489870400627
Episode = 64, Score = 158.51775318162842, Avg_Score = 216.85340415750815
Episode = 65, Score = 143.71781630485418, Avg_Score = 215.74528919004368
Episode = 66, Score = 281.57509761543724, Avg_Score = 216.72782364415403
Episode = 67, Score = 136.1911414786636, Avg_Score = 215.54346067113212
Episode = 68, Score = 277.23696671624316, Avg_Score = 216.4375694543946
Episode = 69, Score = 99.23272371614287, Avg_Score = 214.7632145152767
Episode = 70, Score = 149.26411603341992, Avg_Score = 213.84069200144776
Episode = 71, Score = 257.4043319126203, Avg_Score = 214.44574255576956
Episode = 72, Score = 116.89249627128221, Avg_Score = 213.10939671625604
Episode = 73, Score = 247.0310336125139, Avg_Score = 213.5677972148541
Episode = 74, Score = 267.16974424870864, Avg_Score = 214.28248984197216
Episode = 75, Score = 253.19520113828915, Avg_Score = 214.79449920113424
Episode = 76, Score = 179.10218083415052, Avg_Score = 214.3309625989656
Episode = 77, Score = 130.03200526898465, Avg_Score = 213.25020673576074
Episode = 78, Score = 295.6270093781121, Avg_Score = 214.29295107300572
Episode = 79, Score = 259.8812627553689, Avg_Score = 214.86280496903524
Episode = 80, Score = 116.4134957938453, Avg_Score = 213.64738139897113
Episode = 81, Score = 232.88308174423753, Avg_Score = 213.88196311049876
Episode = 82, Score = 174.3242240494842, Avg_Score = 213.4053638447034
Episode = 83, Score = 255.88564627103574, Avg_Score = 213.91108149263593
Episode = 84, Score = 113.40231505606215, Avg_Score = 212.7286254169115
Episode = 85, Score = 109.86394753263181, Avg_Score = 211.53252451128034
